track_id,artist_id,track_name,album_name,genre,release_date,release_year,duration_ms,explicit,popularity,popularity_tier
TRK661497BC3E,ART0058,Static Motion,Electric Nights,edm,2020-11-18,2020,214854.0,False,28.0,Niche
TRK45BA929307,ART0025,Wildfire Gold,Velvet Hearts,rnb,2025-01-18,2025,175007.0,False,33.4,Niche
TRKB5B93DDC50,ART0027,Aftertaste Motion,Crimson Shadows,hip_hop,2022-04-28,2022,197966.0,True,22.3,Niche
TRKD516247327,ART0082,Static Gold,Ember Streets,rnb,2026-07-04,2026,231631.0,False,51.2,Mid
TRK533154CA0E,ART0064,Slowburn Blue,Wild Shadows,classical,2026-05-31,2026,178338.0,False,23.6,Niche
TRKD10206DC23,ART0126,Neon Signal,Broken Roses,indie,2024-09-11,2024,169647.0,False,49.8,Mid
TRK8E0934E1B3,ART0122,Skyline Blue,Faded Shadows,pop,2025-04-09,2025,231669.0,False,16.4,Flop
TRK6571358B20,ART0044,Lonely Bones,Electric Tapes,jazz,2020-08-31,2020,200677.0,False,10.3,Flop
TRK8C0987E06C,ART0079,Runaway Sky,Wild Roses,jazz,2026-12-13,2026,210322.0,False,17.7,Flop
TRK0EC89698D4,ART0017,Overdrive Gold,Static Rivers,pop,2025-02-28,2025,191586.0,False,46.7,Mid
TRKB2D6B61CB1,ART0022,Gravity Heart,Static Tapes,classical,2023-03-07,2023,154317.0,False,3.8,Flop
TRKEBE674AB72,ART0084,Velvet Bones,Neon Lights,afrobeats,2022-07-14,2022,179731.0,False,35.8,Niche
TRK5B7F27032A,ART0110,Gravity Motion,Crimson Rivers,edm,2025-03-04,2025,206969.0,False,46.0,Mid
TRK127FBD0A7A,ART0058,Neon Rain,Electric Nights,edm,2020-07-27,2020,192316.0,False,20.4,Niche
TRKABFFB6DE47,ART0043,Runaway Ghost,Velvet Streets,hip_hop,2025-07-26,2025,190889.0,False,39.5,Niche
TRKBBACA685E3,ART0043,Static Glow,Midnight Skies,hip_hop,2026-04-06,2026,249823.0,False,79.1,Hit
TRK3FD5FF7058,ART0099,Fever Sky,Wild Signals,jazz,2024-06-08,2024,137404.0,False,20.4,Niche
TRKA61A273B57,ART0080,Sunday Bones,Golden Dreams,afrobeats,2020-10-21,2020,157381.0,False,39.7,Niche
TRKA248E222DA,ART0035,Slowburn Tape,Velvet Lights,edm,2020-05-29,2020,176765.0,False,30.1,Niche
TRK545CB12801,ART0050,Velvet Tape,Silent Dreams,rock,2021-11-03,2021,206163.0,False,34.4,Niche
TRK9002DCA5C1,ART0085,Aftertaste Sky,Velvet Ashes,rock,2024-04-13,2024,218568.0,False,12.9,Flop
TRK68013E3479,ART0060,Lonely Bones,Golden Streets,afrobeats,2023-08-27,2023,235370.0,False,66.0,Hit
TRKAAD74DE289,ART0121,Lonely Sky,Broken Signals,pop,2023-08-21,2023,230149.0,False,31.4,Niche
TRK0C5D0BCCDE,ART0030,Echoes Motion,Paper Shadows,afrobeats,2024-12-13,2024,200962.0,True,51.1,Mid
TRK48EC63EE68,ART0055,Overdrive Static,Broken Waves,rnb,2023-03-08,2023,202661.0,False,20.7,Niche
TRK1E44BEAE38,ART0032,Overdrive Static,Golden Roses,metal,2020-07-23,2020,189630.0,False,11.6,Flop
TRK3B70CA173B,ART0098,Gravity Signal,Golden Hearts,country,2026-09-07,2026,185623.0,False,55.1,Mid
TRK601351D4EF,ART0112,Velvet Fire,Wild Signals,jazz,2022-11-20,2022,199855.0,True,23.6,Niche
TRK9422BF8C3B,ART0076,Sunday Ghost,Faded Roses,metal,2025-08-27,2025,236205.0,False,19.4,Flop
TRK1B2501791C,ART0087,Neon Blue,Golden Hearts,rock,2026-09-22,2026,194575.0,False,28.8,Niche
TRKAE42C39592,ART0048,Gravity Sky,Faded Lights,latin,2024-07-17,2024,226437.0,False,68.0,Hit
TRK89171E086E,ART0117,Skyline Sky,Midnight Tapes,jazz,2024-10-31,2024,205131.0,False,9.4,Flop
TRK3BEEE10E49,ART0099,Runaway Heart,Wild Signals,jazz,2026-01-17,2026,190872.0,False,18.3,Flop
TRK084ADC16E3,ART0082,Echoes Glow,Crimson Dreams,rnb,2024-07-07,2024,166623.0,False,42.8,Mid
TRK016831FBB8,ART0073,Overdrive Tape,Echo Tapes,latin,2024-10-03,2024,243849.0,False,50.9,Mid
TRKF1AF70E7FC,ART0014,Gravity Tape,Ember Static,rnb,2026-12-29,2026,162844.0,False,39.8,Niche
TRK8A37DBED88,ART0075,Sunday Motion,Crimson Bones,country,2025-07-22,2025,220441.0,False,30.8,Niche
TRK5CAB92D668,ART0129,Neon Heart,Velvet Signals,metal,2026-11-05,2026,195673.0,True,25.1,Niche
TRK1CEE6BA979,ART0047,Gravity Tape,Paper Signals,hyperpop,2020-12-12,2020,196733.0,False,15.6,Flop
TRKB8D3736C6E,ART0055,Echoes Rain,Broken Waves,rnb,2023-12-27,2023,140858.0,True,14.9,Flop
TRK5718FACEE2,ART0104,Aftertaste Signal,Glass Signals,classical,2021-10-22,2021,200124.0,False,0.0,Flop
TRK51F122AC0F,ART0054,Neon Static,Glass Hearts,afrobeats,2021-04-29,2021,202573.0,False,29.8,Niche
TRK3AE820A363,ART0096,Slowburn Blue,Glass Dreams,kpop,2023-06-01,2023,206618.0,False,43.4,Mid
TRK1242819231,ART0078,Lonely Glow,Echo Tapes,country,2026-07-29,2026,241752.0,False,30.4,Niche
TRK6CF1851A7F,ART0034,Neon Dust,Electric Static,lofi,2023-05-31,2023,210136.0,True,15.5,Flop
TRKCB18DEEF24,ART0050,Paper Fire,Silent Dreams,rock,2023-08-21,2023,169790.0,False,37.4,Niche
TRKE84D42DB3E,ART0113,Gravity Static,Wild Signals,hyperpop,2020-02-13,2020,171816.0,True,42.0,Mid
TRKD990DCA480,ART0003,Paper Heart,Neon Nights,kpop,2025-08-02,2025,281676.0,False,37.1,Niche
TRK7CF5F78763,ART0126,Runaway Sky,Midnight Bones,indie,2024-08-09,2024,202057.0,False,54.1,Mid
TRKEE4EBEF7B8,ART0040,Paper Blue,Echo Signals,hip_hop,2020-04-11,2020,234707.0,False,25.0,Niche
TRKB48F5DF01B,ART0013,Gravity Motion,Paper Rivers,hip_hop,2025-03-11,2025,193835.0,False,55.4,Mid
TRK2738A4FB49,ART0100,Gravity Fire,Neon Lights,classical,2023-06-08,2023,181313.0,False,5.5,Flop
TRKC96E9BB3ED,ART0069,Lonely Sky,Wild Roses,lofi,2026-12-20,2026,185508.0,False,24.6,Niche
TRK12370F2932,ART0084,Echoes Blue,Neon Lights,afrobeats,2021-12-17,2021,244869.0,False,34.5,Niche
TRK67B6187EC9,ART0054,Skyline Blue,Glass Hearts,afrobeats,2023-07-30,2023,190209.0,False,44.3,Mid
TRK123A79A322,ART0088,Aftertaste Glow,Ember Horizon,rock,2022-12-03,2022,141282.0,False,13.4,Flop
TRKE035880087,ART0070,Static Dust,Faded Shadows,lofi,2021-08-15,2021,233103.0,False,0.0,Flop
TRK64F0730F9C,ART0117,Slowburn Motion,Midnight Tapes,jazz,2022-03-19,2022,236167.0,False,8.2,Flop
TRK4BA4D1921E,ART0119,Overdrive Blue,Ember Ashes,lofi,2022-05-30,2022,164298.0,False,18.7,Flop
TRK6D17A0B62F,ART0078,Skyline Signal,Echo Tapes,country,2026-11-12,2026,197299.0,False,39.0,Niche
TRKF38AF40936,ART0116,Aftertaste Static,Paper Roses,rock,2026-02-06,2026,194354.0,False,24.1,Niche
TRK1E2C0ECB3D,ART0057,Wildfire Ghost,Echo Horizon,rnb,2021-01-16,2021,198455.0,False,22.4,Niche
TRK3C46EB26EE,ART0006,Fever Heart,Silent Ashes,afrobeats,2022-10-04,2022,177565.0,False,23.0,Niche
TRK02ED12E319,ART0080,Lonely Sky,Golden Dreams,afrobeats,2020-12-21,2020,184040.0,False,35.0,Niche
TRKED2B5318D4,ART0128,Neon Heart,Electric Streets,jazz,2022-01-21,2022,87900.0,False,9.0,Flop
TRKFD5E934119,ART0046,Paper Static,Silent Static,rnb,2021-09-27,2021,160964.0,False,7.8,Flop
TRKF76A6536C0,ART0089,Fever Motion,Midnight Skies,pop,2026-09-22,2026,251202.0,False,40.3,Mid
TRK7D5E5F09F6,ART0078,Paper Rain,Echo Tapes,country,2022-05-31,2022,237943.0,False,29.9,Niche
TRK679DACA35B,ART0107,Lonely Blue,Ember Signals,hip_hop,2024-01-05,2024,141073.0,False,33.1,Niche
TRK83E95AF513,ART0009,Velvet Motion,Hollow Skies,country,2022-11-06,2022,204236.0,False,14.8,Flop
TRK0F8B6129B2,ART0113,Skyline Signal,Wild Signals,hyperpop,2026-03-17,2026,188889.0,True,40.2,Mid
TRKB9786F08AF,ART0128,Aftertaste Heart,Electric Streets,jazz,2024-03-09,2024,218883.0,False,10.3,Flop
TRK7BC55F9E58,ART0024,Lonely Heart,Midnight Roses,metal,2023-06-30,2023,211129.0,True,27.9,Niche
TRK6C05025C38,ART0130,Fever Lights,Ember Nights,kpop,2024-05-11,2024,181609.0,False,47.1,Mid
TRK0F407523D0,ART0115,Lonely Motion,Velvet Shadows,metal,2026-06-16,2026,203831.0,True,28.9,Niche
TRK81DF7C6454,ART0079,Aftertaste Heart,Wild Roses,jazz,2022-03-05,2022,149781.0,False,16.8,Flop
TRK07D4EFA9EA,ART0054,Slowburn Motion,Glass Hearts,afrobeats,2026-03-04,2026,235637.0,False,48.9,Mid
TRK555B66AA51,ART0033,Overdrive Glow,Ember Hearts,latin,2024-08-05,2024,188790.0,False,56.1,Mid
TRK0FE092CCE9,ART0055,Slowburn Blue,Broken Waves,rnb,2020-02-22,2020,206632.0,False,15.8,Flop
TRK791AE2115A,ART0013,Velvet Glow,Paper Rivers,hip_hop,2020-10-21,2020,144998.0,True,34.8,Niche
TRKF6116DAD7E,ART0104,Static Dust,Glass Signals,classical,2022-05-06,2022,256390.0,False,0.0,Flop
TRK65355E101A,ART0033,Echoes Gold,Ember Hearts,latin,2026-08-08,2026,226382.0,False,58.6,Mid
TRK72327B8347,ART0011,Sunday Signal,Paper Tapes,hyperpop,2021-09-30,2021,228054.0,True,33.5,Niche
TRKA76A93C314,ART0049,Wildfire Tape,Wild Tapes,pop,2026-05-20,2026,216049.0,False,39.0,Niche
TRK964FADD35D,ART0085,Gravity Sky,Velvet Ashes,rock,2023-12-05,2023,,True,9.1,Flop
TRK4BEA5C938D,ART0129,Wildfire Fire,Silent Static,metal,2024-04-07,2024,225747.0,True,13.4,Flop
TRKEE784941D4,ART0130,Static Heart,Ember Nights,kpop,2021-10-14,2021,239995.0,False,43.9,Mid
TRK60F3AF28CE,ART0126,Fever Blue,Broken Roses,indie,2021-09-14,2021,181172.0,False,30.7,Niche
